Anzahl,Zeit,Knoten_pro_Sekunde
25000,0.627,39872
50000,0.64,78125
75000,0.563,133214
100000,0.651,153609
125000,0.695,179856
150000,0.774,193798
175000,0.985,177664
200000,1.272,157232
225000,1.326,169683
250000,1.632,153186
275000,1.734,158592
300000,2.038,147203
325000,2.315,140388
350000,2.236,156529
375000,2.221,168842
400000,2.531,158040
425000,2.467,172274
450000,2.857,157507
475000,3.171,149795
500000,2.953,169319
525000,3.349,156763
550000,3.309,166213
575000,3.388,169716
600000,3.856,155601
625000,3.872,161415
650000,3.818,170246
675000,3.828,176332
700000,4.338,161364
725000,4.747,152728
750000,4.311,173973
775000,5.287,146585
800000,4.765,167890
825000,5.188,159020
850000,5.95,142857
875000,5.114,171098
900000,5.442,165380
925000,6.395,144644
950000,5.909,160771
975000,5.687,171443
1000000,5.915,169061
