Berechnungen,Knoten,Kanten,Zeit_avg,Zeit_Cypher_avg,Zeit_Neo4j,Zeit_Neo4j_dijkstra_cypher 
9900,100,100,0.000086969696969697,0.000327878787878788,0.861,3.246
37830,195,200,0.0000317472905101771,0.00000393867301083796,1.201,0.149
82082,287,300,0.0000337954728198631,0.00000168124558368461,2.774,0.138
142506,378,400,0.0000447419757764585,0.000000806983565604255,6.376,0.115
212060,461,500,0.0000750495142884089,0.000000806375554088466,15.915,0.171
293222,542,600,0.0000781626208128994,0.000000699128987593018,22.919,0.205
410240,641,700,0.0000778349258970359,0.000000580148205928237,31.931,0.238
496320,705,800,0.0000869076402321083,0.000000531914893617021,43.134,0.264
618582,787,900,0.0000900090852950781,0.000000672505827844975,55.678,0.416
745632,864,1000,0.0000929788421097807,0.000000460012445817776,69.328,0.343
899652,949,1100,0.0000932093742913927,0.000000516866521721732,83.856,0.465
1097256,1048,1200,0.0000930940455098901,0.000000478466283164549,102.148,0.525
1213302,1102,1300,0.000105779929481695,0.000000645346335866915,128.343,0.783
1374756,1173,1400,0.000112155902574711,0.00000044589730832235,154.187,0.613
1568756,1253,1500,0.000115673820530408,0.000000502308835790907,181.464,0.788
1727910,1315,1600,0.000129896233021396,0.000000766243612225174,224.449,1.324
1872792,1369,1700,0.000156484542864344,0.000000735799811190992,293.063,1.378
2077922,1442,1800,0.000170082418878091,0.000000528893769833516,353.418,1.099
2266530,1506,1900,0.000172299506293762,0.000000464586835382722,390.522,1.053
2466470,1571,2000,0.000193855185751296,0.000000700190961171229,478.138,1.727
2684682,1639,2100,0.000194399932654966,0.000000760983982460493,521.902,2.043
2881506,1698,2200,0.000219149986153074,0.000000452194095726332,631.482,1.303
3124056,1768,2300,0.000239623745541053,0.000000491668523227497,748.598,1.536
3303306,1818,2400,0.000250327399278178,0.000000418368749368057,826.908,1.382
3543806,1883,2500,0.000251106578633255,0.000000308143278723497,889.873,1.092
3839640,1960,2600,0.000251350387015449,0.000000686522694835974,965.095,2.636
4179980,2045,2700,0.000251423212551256,0.000000559811290963115,1050.944,2.340
4492280,2120,2800,0.000267502248301531,0.00000050998602046177,1201.695,2.291
4829006,2198,2900,0.000267381527378512,0.000000583764029284702,1291.187,2.819
5033292,2244,3000,0.000300523395026555,0.000000522123492934644,1512.622,2.628
5283102,2299,3100,0.000318915099500256,0.000000549109216517114,1684.861,2.901
5619270,2371,3200,0.000326591532352067,0.000000522309837398808,1835.206,2.935
5849142,2419,3300,0.0003380292357409,0.00000057529805226134,1977.181,3.365
6019662,2454,3400,0.000354916106585386,0.000000627776111017529,2136.475,3.779
6317682,2514,3500,0.000366270730308996,0.000000596579568265703,2313.982,3.769
6505050,2551,3600,0.000377058900392772,0.000000563869608996088,2452.787,3.668
6840840,2616,3700,0.000409205156091942,0.000000560018945041837,2799.307,3.831
7363082,2714,3800,0.000402499523976509,0.000000621071448070251,2963.637,4.573
7898910,2811,3900,0.00039064769696072,0.000000699463596876025,3085.691,5.525
8441930,2906,4000,0.000395214956769364,0.000000554612511593913,3336.377,4.682
8997000,3000,4100,0.000393853840168945,0.000000636545515171724,3543.503,5.727
9569742,3094,4200,0.000396536186659996,0.000000583819292097948,3794.749,5.587
10102862,3179,4300,0.000393620837342923,0.000000720389925151903,3976.697,7.278
10689630,3270,4400,0.00038690777884735,0.000000672895132946603,4135.901,7.193
11319860,3365,4500,0.000393477657850892,0.000000552038629453015,4454.112,6.249
11981982,3462,4600,0.000396109258050964,0.000000667585713281826,4746.174,7.999
12450312,3529,4700,0.000409807882726152,0.000000699741500453965,5102.236,8.712
12913242,3594,4800,0.000416210352133105,0.000000635781471453877,5374.625,8.210
13391940,3660,4900,0.000419890098073916,0.000000755678415524562,5623.143,10.120
13730730,3706,5000,0.000434277274405658,0.000000603828055755229,5962.944,8.291
