Berechnungen,Knoten,Kanten,Zeit_avg,Zeit_Neo4j
9900,100,100,0.0000372727272727273,0.369
37830,195,200,0.00000959555908009516,0.363
82082,287,300,0.00000411783338612607,0.338
142506,378,400,0.00000359984842743463,0.513
212060,461,500,0.00000415920022635103,0.882
293222,542,600,0.00000358772534120905,1.052
410240,641,700,0.00000345895085803432,1.419
496320,705,800,0.00000368713733075435,1.830
618582,787,900,0.00000374889667012619,2.319
745632,864,1000,0.00000371362817046479,2.769
899652,949,1100,0.00000371810433367569,3.345
1097256,1048,1200,0.00000394803035936919,4.332
1213302,1102,1300,0.00000402702707157822,4.886
1374756,1173,1400,0.00000387632423499152,5.329
1568756,1253,1500,0.00000389098113409606,6.104
1727910,1315,1600,0.00000407602247802258,7.043
1872792,1369,1700,0.00000418466119035109,7.837
2077922,1442,1800,0.00000422730015852376,8.784
2266530,1506,1900,0.00000426246288379152,9.661
2466470,1571,2000,0.0000043288586522439,10.677
2684682,1639,2100,0.00000433421909931977,11.636
2881506,1698,2200,0.00000449625994184985,12.956
3124056,1768,2300,0.00000464108197804393,14.499
3303306,1818,2400,0.00000473525613430908,15.642
3543806,1883,2500,0.00000468789770094638,16.613
3839640,1960,2600,0.00000448349324415831,17.215
4179980,2045,2700,0.00000445935148015062,18.640
4492280,2120,2800,0.0000043096156072195,19.360
4829006,2198,2900,0.00000425180668651064,20.532
5033292,2244,3000,0.00000425626011763275,21.423
5283102,2299,3100,0.0000042681364092535,22.549
5619270,2371,3200,0.00000438526712544512,24.642
5849142,2419,3300,0.00000425378628181706,24.881
6019662,2454,3400,0.00000424741455583387,25.568
6317682,2514,3500,0.00000437122349621269,27.616
6505050,2551,3600,0.00000440058108700164,28.626
6840840,2616,3700,0.00000439010413925775,30.032
7363082,2714,3800,0.00000430675632839618,31.711
7898910,2811,3900,0.00000426691784056281,33.704
8441930,2906,4000,0.00000428195922022571,36.148
8997000,3000,4100,0.00000419217516950095,37.717
9569742,3094,4200,0.00000413062337521743,39.529
10102862,3179,4300,0.00000412902799226595,41.715
10689630,3270,4400,0.00000408470639301828,43.664
11319860,3365,4500,0.00000402381301535531,45.549
11981982,3462,4600,0.00000405058194879612,48.534
12450312,3529,4700,0.00000401058222476674,49.933
12913242,3594,4800,0.00000399783416124316,51.625
13391940,3660,4900,0.00000401308548276053,53.743
13730730,3706,5000,0.00000401428037693553,55.119
