Zeilen,Knoten,Kanten,Zeit_NetworkX,Zeit_Neo4j_kontinuierlich,Zeit_Neo4j_einzeln,
25000,18209,25000,0.408,3.893,3.801
50000,31355,50000,0.744,4.287,5.750
75000,40033,75000,1.051,3.900,7.001
100000,49683,100000,1.451,4.710,8.884
125000,62679,125000,1.769,6.001,10.147
150000,74062,150000,2.288,7.145,11.187
175000,82604,175000,2.577,8.640,12.310
200000,91489,200000,2.901,9.773,13.923
225000,101774,225000,3.216,13.215,15.455
250000,111754,250000,3.671,14.568,16.649
275000,120861,275000,4.145,12.777,18.297
300000,128769,300000,4.374,13.982,19.250
325000,138027,325000,4.606,15.200,19.846
350000,148587,350000,4.993,16.256,21.249
375000,156928,375000,5.657,18.154,21.966
400000,164703,400000,5.920,18.880,24.069
425000,173819,425000,6.256,20.063,24.824
450000,181755,450000,6.447,22.925,26.125
475000,189183,475000,6.844,22.674,27.238
500000,195174,500000,7.170,24.507,28.927
