Zeilen,Knoten,Kanten,Zeit_NetworkX,Zeit_Neo4j_own_kontinuierlich,Neo4j_own_einzeln
100,1218,3675,0.381,1.644,1.531
200,2186,7086,0.445,1.265,2.298
300,3127,10339,0.505,1.373,2.813
400,3999,13501,0.570,1.222,3.161
500,4817,16523,0.604,1.322,3.726
600,5573,19343,0.675,1.280,3.946
700,6266,22608,0.730,1.487,4.223
800,6936,26075,0.863,1.606,4.842
900,7636,29414,0.942,1.755,5.194
1000,8389,32759,1.049,1.983,5.372
1500,11816,48185,1.703,3.516,7.446
2000,14873,64481,2.333,4.926,9.544
2500,17635,80375,3.153,5.079,11.072
3000,20062,97174,4.001,6.246,13.888
3500,22423,113184,4.879,7.517,15.248
4000,24745,128940,5.898,8.622,17.628
4500,26804,145757,6.693,10.055,18.310
5000,29160,161009,7.950,11.242,21.289
5500,30882,177619,8.860,12.907,25.360
6000,32996,193285,10.160,16.386,25.771
6500,35091,209484,11.433,17.317,28.288
7000,36878,225655,12.533,16.610,28.446
7500,38684,242209,13.937,17.897,30.910
8000,40658,258336,15.411,19.803,36.927
8500,42343,275057,16.657,21.491,35.087
9000,43837,291378,17.600,23.240,39.996
9500,45368,307787,18.520,24.339,41.060
10000,47449,324099,19.978,25.951,38.724
