Berechnungen,Knoten,Kanten,Zeit_NetworkX
25000,18209,25000,0.081
50000,31355,50000,0.043
75000,40033,75000,0.056
100000,49683,100000,0.070
125000,62679,125000,0.089
150000,74062,150000,0.104
175000,82604,175000,0.119
200000,91489,200000,0.135
225000,101774,225000,0.149
250000,111754,250000,0.166
275000,120861,275000,0.187
300000,128769,300000,0.199
325000,138027,325000,0.220
350000,148587,350000,0.232
375000,156928,375000,0.250
400000,164703,400000,0.274
425000,173819,425000,0.293
450000,181755,450000,0.285
475000,189183,475000,0.307
500000,195174,500000,0.313
525000,202379,525000,0.345
550000,209714,550000,0.337
575000,217679,575000,0.357
600000,224961,600000,0.365
625000,231232,625000,0.388
650000,237879,650000,0.386
675000,243676,675000,0.398
700000,249493,700000,0.411
725000,255436,725000,0.419
750000,261729,750000,0.433
775000,267408,775000,0.439
800000,272699,800000,0.456
825000,277544,825000,0.464
850000,283266,850000,0.471
875000,288712,875000,0.480
900000,293828,900000,0.527
925000,297515,925000,0.509
950000,300817,950000,0.533
975000,305644,975000,0.512
1000000,310264,1000000,0.532
