Zeilen,Zeit_Neo4j
100,1.380
200,1.496
300,1.437
400,1.538
500,1.598
600,1.669
700,1.677
800,1.696
900,1.627
1000,1.683
1100,1.794
1200,1.822
1300,1.854
1400,1.862
1500,1.847
1600,2.039
1700,1.869
1800,2.056
1900,1.901
2000,1.955
2100,2.029
2200,2.136
2300,2.109
2400,2.034
2500,2.324
2600,2.126
2700,1.976
2800,2.039
2900,1.986
3000,2.081
3100,2.167
3200,2.192
3300,2.098
3400,2.298
3500,2.225
3600,2.141
3700,2.218
3800,2.100
3900,2.268
4000,2.299
4100,2.166
4200,2.356
4300,2.330
4400,2.289
4500,2.365
4600,2.319
4700,2.328
4800,2.343
4900,2.380
5000,2.263
5100,2.246
5200,2.304
5300,2.389
5400,2.294
5500,2.464
5600,2.311
5700,2.390
5800,2.391
5900,2.356
6000,2.502
6100,2.416
6200,2.512
6300,2.534
6400,2.490
6500,2.507
6600,2.571
6700,2.611
6800,2.464
6900,2.420
7000,2.536
7100,2.490
7200,2.527
7300,2.539
7400,2.516
7500,2.555
7600,2.486
7700,2.523
7800,2.605
7900,2.563
8000,2.456
8100,2.528
8200,2.508
8300,2.446
8400,2.709
8500,2.530
8600,2.540
8700,2.775
8800,2.750
8900,2.550
9000,2.519
9100,2.481
9200,2.579
9300,2.521
9400,2.623
9500,2.469
9600,2.708
9700,2.834
9800,2.666
9900,2.609
10000,2.648
