Knoten,Kanten,ms_create,ms_algo,ms_drop,ms_gesamt
18209,25000,3230,1825,105,5160
31355,50000,200,433,72,705
40033,75000,236,438,62,736
49683,100000,135,426,55,616
62679,125000,110,414,45,569
74062,150000,128,518,40,686
82604,175000,114,497,34,645
91489,200000,137,1568,33,1738
101774,225000,213,590,32,835
111754,250000,112,712,29,853
120861,275000,123,739,28,890
128769,300000,133,747,27,907
138027,325000,131,812,25,968
148587,350000,127,906,25,1058
156928,375000,139,992,25,1156
164703,400000,139,1002,25,1166
173819,425000,131,938,25,1094
181755,450000,144,922,24,1090
189183,475000,145,1205,23,1373
195174,500000,182,1138,23,1343
202379,525000,161,1222,23,1406
209714,550000,178,1154,21,1353
217679,575000,147,1350,22,1519
224961,600000,142,1298,22,1462
231232,625000,141,1441,21,1603
237879,650000,151,1325,20,1496
243676,675000,155,1399,21,1575
249493,700000,145,1376,21,1542
255436,725000,142,1434,19,1595
261729,750000,154,1492,19,1665
267408,775000,166,1606,19,1791
272699,800000,132,1367,20,1519
277544,825000,131,1524,18,1673
283266,850000,158,1602,19,1779
288712,875000,194,1417,19,1630
293828,900000,162,1692,19,1873
297515,925000,166,1562,19,1747
300817,950000,148,1797,20,1965
305644,975000,146,1603,18,1767
310264,1000000,168,1570,18,1756
