Kanten,Knoten,Zeit
25000,18209,0.126
50000,31355,0.106
75000,40033,0.099
100000,49683,0.114
125000,62679,0.112
150000,74062,0.128
175000,82604,0.115
200000,91489,0.120
225000,101774,0.166
250000,111754,0.151
275000,120861,0.161
300000,128769,0.244
325000,138027,0.261
350000,148587,0.197
375000,156928,0.267
400000,164703,0.221
425000,173819,0.240
450000,181755,0.241
475000,189183,0.253
500000,195174,0.261
525000,202379,0.295
550000,209714,0.287
575000,217679,0.303
600000,224961,0.306
625000,231232,0.316
650000,237879,0.362
675000,243676,0.329
700000,249493,0.334
725000,255436,0.342
750000,261729,0.384
775000,267408,0.362
800000,272699,0.369
825000,277544,0.385
850000,283266,0.386
875000,288712,0.397
900000,293828,0.403
925000,297515,0.563
950000,300817,0.612
975000,305644,0.470
1000000,310264,0.484
