Zeilen,Knoten,Kanten,Zeit_NetworkX
100,1218,3675,0.781
200,2186,7086,0.893
300,3127,10339,1.436
400,3999,13501,1.882
500,4817,16523,2.232
600,5573,19343,2.374
700,6266,22608,2.964
800,6936,26075,3.471
900,7636,29414,3.827
1000,8389,32759,4.107
1100,9066,35917,4.501
1200,9762,38937,4.673
1300,10424,41550,5.455
1400,11189,44578,5.647
1500,11816,48185,6.730
1600,12494,51673,6.844
1700,13146,54981,7.225
1800,13755,58199,7.861
1900,14392,61107,8.229
2000,14873,64481,8.745
2100,15371,67878,9.598
2200,15928,71028,9.631
2300,16495,74004,10.191
2400,17091,76913,10.808
2500,17635,80375,11.096
2600,18182,83762,10.988
2700,18701,87014,11.836
2800,19173,90414,12.327
2900,19651,93666,12.588
3000,20062,97174,13.190
3100,20552,100467,13.642
3200,21075,103740,14.112
3300,21607,106803,14.331
3400,22085,109756,14.465
3500,22423,113184,15.703
3600,22856,116534,15.449
3700,23349,119789,16.212
3800,23846,122811,16.397
3900,24359,125636,17.233
4000,24745,128940,17.712
4100,25183,132397,18.278
4200,25598,135559,18.155
4300,26034,138976,18.228
4400,26451,142286,18.193
4500,26804,145757,19.178
4600,27266,149065,19.094
4700,27762,152244,19.651
4800,28271,155344,19.747
4900,28755,158101,20.152
5000,29160,161009,20.593
5100,29462,164442,22.070
5200,29859,167629,21.176
5300,30213,170901,22.931
5400,30604,174289,25.805
5500,30882,177619,24.915
5600,31208,180979,25.654
5700,31573,184155,24.950
5800,32006,187362,26.432
5900,32495,190408,26.753
6000,32996,193285,27.556
6100,33499,196002,27.563
6200,34004,199365,27.679
6300,34300,202924,27.551
6400,34649,206291,28.318
6500,35091,209484,28.425
6600,35450,212657,29.838
6700,35770,216083,30.213
6800,36096,219350,30.105
6900,36511,222531,31.665
7000,36878,225655,31.389
7100,37185,229073,33.779
7200,37508,232323,32.254
7300,37957,235498,32.504
7400,38419,238843,35.152
7500,38684,242209,35.418
7600,38994,245558,34.878
7700,39379,248782,34.183
7800,39812,251821,34.705
7900,40218,255030,35.794
8000,40658,258336,38.008
8100,41024,261646,36.247
8200,41305,265006,39.441
8300,41621,268418,37.519
8400,41971,271722,41.029
8500,42343,275057,40.113
8600,42603,278395,39.676
8700,42912,281731,40.920
8800,43143,285020,42.029
8900,43466,288064,40.250
9000,43837,291378,39.353
9100,44089,294744,43.041
9200,44402,297970,43.567
9300,44744,301235,44.727
9400,45059,304517,43.010
9500,45368,307787,44.842
9600,45730,310921,45.017
9700,46066,314207,47.051
9800,46520,317462,47.071
9900,47023,320789,46.943
10000,47449,324099,46.338
