Zeilen;Knoten;Kanten;Zeit_NetworkX;Zeit_Neo4j
100;1218;3675;0,000;0,003
200;2186;7086;0,001;0,005
300;3127;10339;0,001;0,007
400;3999;13501;0,001;0,009
500;4817;16523;0,002;0,009
600;5573;19343;0,002;0,01
700;6266;22608;0,002;0,011
800;6936;26075;0,002;0,009
900;7636;29414;0,003;0,012
1000;8389;32759;0,003;0,013
1500;11816;48185;0,004;0,013
2000;14873;64481;0,005;0,023
2500;17635;80375;0,006;0,02
3000;20062;97174;0,007;0,019
3500;22423;113184;0,007;0,023
4000;24745;128940;0,008;0,019
4500;26804;145757;0,009;0,023
5000;29160;161009;0,010;0,023
5500;30882;177619;0,010;0,023
6000;32996;193285;0,011;0,024
6500;35091;209484;0,012;0,02
7000;36878;225655;0,013;0,025
7500;38684;242209;0,013;0,025
8000;40658;258336;0,014;0,021
8500;42343;275057;0,014;0,018
9000;43837;291378;0,015;0,026
9500;45368;307787;0,015;0,025
10000;47449;324099;0,016;0,032
