Knoten,Kanten,Zeit_Neo4j
864,1000,0.044
1071,1250,0.049
1253,1500,0.058
1407,1750,0.058
1571,2000,0.065
1732,2250,0.068
1883,2500,0.07
2086,2750,0.075
2244,3000,0.082
2386,3250,0.08
2514,3500,0.081
2665,3750,0.089
2906,4000,0.087
3136,4250,0.089
3365,4500,0.092
3562,4750,0.093
3706,5000,0.088
4295,6000,0.099
4835,7000,0.102
5293,8000,0.103
5819,9000,0.103
6731,10000,0.107
11678,15000,0.123
15368,20000,0.135
18209,25000,0.135
31355,50000,0.137
40033,75000,0.182
49683,100000,0.16
62679,125000,0.179
74062,150000,0.221
82604,175000,0.221
91489,200000,0.24
101774,225000,0.206
111754,250000,0.211
120861,275000,0.242
128769,300000,0.256
138027,325000,0.208
148587,350000,0.232
156928,375000,0.272
164703,400000,0.201
173819,425000,0.232
181755,450000,0.236
189183,475000,0.317
195174,500000,0.316
202379,525000,0.299
209714,550000,0.263
215976,570000,0.256
224961,600000,0.246
231232,625000,0.308
237879,650000,0.268
243676,675000,0.254
249493,700000,0.277
255436,725000,0.273
261729,750000,0.348
267408,775000,0.256
272699,800000,0.262
277544,825000,0.273
283266,850000,0.3
288712,875000,0.304
293828,900000,0.273
297515,925000,0.28
300817,950000,0.26
305644,975000,0.354
310264,1000000,0.251
