Knoten,Kanten,Zeit_s
100,100,0.100
195,200,0.555
287,300,1.214
378,400,2.254
461,500,9.806
542,600,13.868
641,700,18.596
705,800,22.701
787,900,28.312
864,1000,34.766
949,1100,41.180
1048,1200,51.571
1102,1300,55.160
1173,1400,64.579
1253,1500,72.613
1315,1600,79.651
1369,1700,90.907
1442,1800,97.376
1506,1900,105.426
1571,2000,116.607
1639,2100,122.204
1698,2200,136.376
1768,2300,144.579
1818,2400,163.143
1883,2500,164.728
1960,2600,176.469
2045,2700,197.786
2120,2800,212.279
2198,2900,224.010
2244,3000,244.197
2299,3100,251.189
2371,3200,268.200
2419,3300,274.061
2454,3400,288.781
2514,3500,300.387
2551,3600,304.978
2616,3700,320.325
2714,3800,358.288
2811,3900,365.953
2906,4000,397.269
3000,4100,420.588
3094,4200,444.754
3179,4300,491.385
3270,4400,503.365
3365,4500,533.037
3462,4600,562.648
3529,4700,573.467
3594,4800,611.541
3660,4900,630.750
3706,5000,640.689
3768,5100,664.597
3832,5200,677.325
3894,5300,710.855
3942,5400,722.240
4001,5500,745.394
4080,5600,767.528
4119,5700,785.560
4184,5800,818.639
4237,5900,836.510
4295,6000,887.681
4360,6100,935.460
4430,6200,941.322
4479,6300,959.481
4506,6400,976.118
4561,6500,975.777
4608,6600,1014.793
4659,6700,1084.169
4741,6800,1110.322
4803,6900,1128.023
4835,7000,1130.591
4881,7100,1139.024
4915,7200,1142.935
4952,7300,1200.536
5007,7400,1198.557
5068,7500,1223.143
5102,7600,1249.351
5178,7700,1305.468
5221,7800,1322.486
5248,7900,1354.380
5293,8000,1336.412
5340,8100,1419.795
5381,8200,1424.958
5447,8300,1441.375
5520,8400,1513.230
5565,8500,1498.300
5600,8600,1507.384
5654,8700,1580.911
5711,8800,1672.985
5775,8900,1774.346

